시군구,행정동,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
용산구,소계,203854,4732,5518,6154,6762,10635,17140,20582,16204,15751,13606,16844,15813,15219,13269,8647,6803,5367,3289,1187,280,52
용산구,후암동,15804,259,380,502,564,723,1357,1614,1207,1175,1033,1315,1231,1260,1082,753,546,427,268,78,22,8
용산구,용산2가동,8690,96,130,162,256,430,830,956,673,624,553,639,565,669,657,471,407,295,202,59,14,2
용산구,남영동,6739,52,66,82,118,243,518,646,423,366,403,681,722,814,641,357,266,190,105,35,7,4
용산구,청파동,18603,214,234,372,525,1622,2309,2152,1278,1064,1094,1479,1444,1370,1159,795,616,528,254,76,15,3
용산구,원효로1동,17020,516,541,481,455,859,1900,2497,1787,1494,1106,1196,1025,1009,814,514,371,248,139,61,6,1
용산구,원효로2동,13522,314,404,448,472,724,1088,1362,1024,997,895,1105,1098,1022,881,558,477,323,229,79,19,3
용산구,효창동,10484,301,366,317,323,606,894,1128,907,829,694,887,843,723,538,361,314,252,139,52,10,-
용산구,용문동,11161,276,276,282,350,538,976,1084,869,824,665,932,903,845,750,546,463,343,169,52,13,5
용산구,한강로동,20901,700,487,423,521,961,2059,2800,2094,1660,1176,1499,1676,1487,1253,762,545,413,261,98,23,3
용산구,이촌1동,24955,768,1314,1384,1211,1284,1234,1332,1656,2126,1963,2369,2038,1670,1493,915,745,696,493,205,51,8
용산구,이촌2동,7711,240,146,187,244,322,436,655,671,633,465,609,615,615,665,421,317,260,138,53,17,2
용산구,이태원1동,6030,89,110,96,140,237,547,712,463,430,359,424,466,537,461,313,254,193,125,58,14,2
용산구,이태원2동,8507,130,187,191,211,391,780,982,719,732,537,670,558,595,560,369,344,306,170,56,17,2
용산구,한남동,14073,434,442,439,448,596,920,1271,1240,1339,1053,1216,1038,967,924,629,473,363,182,76,22,1
용산구,서빙고동,12467,278,352,639,725,803,725,745,731,961,1146,1187,933,925,773,493,341,303,281,99,20,7
용산구,보광동,7187,65,83,149,199,296,567,646,462,497,464,636,658,711,618,390,324,227,134,50,10,1
성동구,소계,273669,7563,8411,8237,9094,16106,22847,24802,21622,21435,18319,22134,21318,20751,17867,11745,9348,7001,3634,1156,245,34
성동구,왕십리2동,15950,490,495,480,523,819,1273,1599,1317,1232,1037,1333,1242,1235,1015,682,519,380,192,70,14,3
